"Gender","Age","NumEnq","ExistCust","CCother","OutBal","Prov","AppMethod","Income","RecDef","PD_groups"
0,8e-04,0.8215,0.2631,6e-04,9e-04,9e-04,6e-04,9e-04,3e-04,0.1026
1e-04,0.0016,0.7946,0.2633,0.0012,Inf,0.0017,8e-04,0.0016,2e-04,0.0934
1e-04,0.0013,0.7964,0.2397,3e-04,0.0017,0.0011,9e-04,4e-04,6e-04,0.09
0,6e-04,0.7942,0.2514,2e-04,5e-04,7e-04,6e-04,3e-04,1e-04,0.0986
6e-04,0.001,0.7794,0.2437,4e-04,6e-04,0.0016,4e-04,8e-04,4e-04,0.0774
2e-04,3e-04,0.8125,0.2709,2e-04,Inf,0.0016,1e-04,4e-04,4e-04,0.0996
0,7e-04,0.7923,0.2569,1e-04,3e-04,7e-04,6e-04,0.0011,8e-04,0.0866
6e-04,0.0011,0.8324,0.2549,7e-04,5e-04,0.0032,8e-04,9e-04,3e-04,0.0948
0,0.0011,0.8058,0.2707,0.001,0.0014,0.0019,6e-04,5e-04,0.001,0.096
1e-04,5e-04,0.7868,0.2455,7e-04,4e-04,0.0011,6e-04,6e-04,0.001,0.0895
0,3e-04,0.7788,0.2494,2e-04,0.0013,9e-04,5e-04,3e-04,3e-04,0.0843
0,5e-04,0.8092,0.259,3e-04,Inf,8e-04,1e-04,9e-04,2e-04,0.0956
2e-04,6e-04,0.8215,0.2648,0,Inf,0.0013,3e-04,4e-04,1e-04,0.0963
0,7e-04,0.7802,0.2472,4e-04,9e-04,0.0011,3e-04,9e-04,4e-04,0.0875
2e-04,5e-04,0.8065,0.2619,1e-04,6e-04,0.0014,2e-04,2e-04,3e-04,0.0965
4e-04,3e-04,0.795,0.2395,7e-04,Inf,0.0014,8e-04,0.0015,2e-04,0.0848
0,6e-04,0.7916,0.2658,0,8e-04,0.0014,4e-04,6e-04,2e-04,0.0914
2e-04,7e-04,0.8014,0.2635,9e-04,3e-04,0.0011,1e-04,3e-04,2e-04,0.0977
1e-04,0.001,0.7891,0.2498,7e-04,0.001,0.0016,6e-04,4e-04,3e-04,0.0931
0,5e-04,0.7916,0.2553,5e-04,Inf,8e-04,5e-04,0.0016,0,0.0879
