"Gender","Age","NumEnq","ExistCust","CCother","OutBal","Prov","AppMethod","Income","RecDef","PD_groups"
1e-04,0.0011,0.7937,0.2569,0.0012,Inf,0.0022,0.0013,0.001,2e-04,0.0942
0,9e-04,0.8026,0.2575,2e-04,4e-04,7e-04,6e-04,0.001,1e-04,0.0873
1e-04,9e-04,0.8093,0.2704,8e-04,4e-04,0.0011,0.0011,0.001,7e-04,0.0976
0,0.0011,0.811,0.266,8e-04,0.0011,0.0012,9e-04,5e-04,2e-04,0.0973
0,4e-04,0.7944,0.2425,4e-04,0.0021,8e-04,5e-04,4e-04,4e-04,0.091
1e-04,5e-04,0.8442,0.2787,0.0011,Inf,0.0014,2e-04,7e-04,6e-04,0.1054
0,0.0013,0.8361,0.2736,9e-04,0.0026,0.0017,8e-04,0.0011,7e-04,0.098
2e-04,9e-04,0.7796,0.2543,0,0.0013,0.0015,9e-04,5e-04,1e-04,0.0905
0,1e-04,0.7665,0.2588,0,7e-04,8e-04,0,8e-04,2e-04,0.094
1e-04,9e-04,0.7935,0.2516,3e-04,8e-04,8e-04,1e-04,7e-04,0.001,0.0945
3e-04,8e-04,0.804,0.27,2e-04,5e-04,0.0015,4e-04,3e-04,5e-04,0.0995
0,8e-04,0.7835,0.2522,0,0.001,0.001,7e-04,3e-04,3e-04,0.0995
3e-04,7e-04,0.8469,0.2669,2e-04,0.0012,4e-04,1e-04,7e-04,5e-04,0.0856
0,5e-04,0.8012,0.2563,4e-04,Inf,8e-04,8e-04,9e-04,6e-04,0.0851
1e-04,7e-04,0.7958,0.2594,4e-04,Inf,9e-04,6e-04,5e-04,8e-04,0.0994
0,0.0015,0.7831,0.2584,0.0012,9e-04,0.0013,8e-04,0.0014,0.0017,0.0949
1e-04,0.0011,0.806,0.2669,0.0011,0.0025,0.0019,7e-04,5e-04,8e-04,0.097
3e-04,5e-04,0.7964,0.2642,2e-04,Inf,7e-04,2e-04,4e-04,5e-04,0.0954
0,0.001,0.7936,0.27,4e-04,0.0013,0.0015,0.0012,0.0014,5e-04,0.0987
2e-04,3e-04,0.8037,0.2623,3e-04,9e-04,9e-04,5e-04,0.0013,3e-04,0.0965
1e-04,0.0011,0.8009,0.2588,6e-04,Inf,0.0016,0.0011,4e-04,6e-04,0.1002
1e-04,3e-04,0.7866,0.2441,3e-04,8e-04,8e-04,5e-04,0.001,5e-04,0.0857
0,5e-04,0.8011,0.2755,4e-04,Inf,9e-04,5e-04,8e-04,1e-04,0.0877
1e-04,7e-04,0.8392,0.2871,9e-04,4e-04,0.0013,5e-04,3e-04,4e-04,0.1023
0,0.0011,0.8228,0.2445,0.0012,0.0014,0.0012,6e-04,0.0017,0.001,0.106
0,7e-04,0.7886,0.2524,5e-04,0.0015,0.0011,7e-04,4e-04,1e-04,0.0966
5e-04,0.001,0.8053,0.2619,3e-04,0.0016,9e-04,1e-04,6e-04,2e-04,0.0889
2e-04,4e-04,0.795,0.258,1e-04,8e-04,0.001,3e-04,0.0013,2e-04,0.0933
0,8e-04,0.7692,0.2445,8e-04,Inf,0.0012,5e-04,9e-04,6e-04,0.0951
1e-04,5e-04,0.8193,0.2623,3e-04,Inf,0.0013,3e-04,3e-04,1e-04,0.1021
0,0.001,0.8213,0.2609,4e-04,0.001,8e-04,6e-04,9e-04,5e-04,0.1021
1e-04,5e-04,0.8306,0.2704,8e-04,8e-04,0.001,2e-04,5e-04,8e-04,0.0965
0,0.0014,0.8093,0.2646,0.001,7e-04,0.0022,0.001,3e-04,9e-04,0.1043
2e-04,0.0011,0.808,0.249,4e-04,1e-04,7e-04,6e-04,4e-04,3e-04,0.0911
0,5e-04,0.774,0.249,2e-04,0.0012,0.0019,5e-04,5e-04,0,0.0893
0,0.0018,0.7873,0.2665,0.0023,0.0018,0.0029,5e-04,0.0012,9e-04,0.0964
9e-04,0.0016,0.7948,0.2646,9e-04,Inf,0.0026,0.0023,0.0017,3e-04,0.0865
0,3e-04,0.7948,0.2547,0.0012,Inf,0.0019,4e-04,6e-04,4e-04,0.0913
1e-04,5e-04,0.8142,0.2667,1e-04,8e-04,8e-04,2e-04,5e-04,5e-04,0.0941
0,0.001,0.7894,0.2405,9e-04,Inf,0.0011,8e-04,0.0012,4e-04,0.0868
1e-04,0.001,0.8069,0.26,0.001,9e-04,0.0011,4e-04,3e-04,2e-04,0.0888
0,6e-04,0.8172,0.2582,0.0011,Inf,0.0014,6e-04,0.0012,2e-04,0.0914
0,5e-04,0.7921,0.253,3e-04,9e-04,0.0016,3e-04,0.001,0,0.0937
7e-04,7e-04,0.7999,0.2429,2e-04,3e-04,5e-04,3e-04,6e-04,6e-04,0.0857
0,6e-04,0.8012,0.2551,0.0012,0.0016,0.0014,5e-04,8e-04,7e-04,0.0955
1e-04,1e-04,0.7649,0.2437,2e-04,Inf,8e-04,2e-04,2e-04,5e-04,0.0868
0,6e-04,0.826,0.2594,1e-04,5e-04,9e-04,3e-04,4e-04,1e-04,0.0896
2e-04,0.001,0.7952,0.2423,0.0014,0.001,0.0028,0.001,0.0023,0.001,0.0839
0,6e-04,0.7807,0.2482,6e-04,6e-04,0.0016,4e-04,6e-04,2e-04,0.0911
0,2e-04,0.7967,0.2644,0,0.0016,4e-04,5e-04,7e-04,1e-04,0.0864
1e-04,0.0016,0.8173,0.2528,0.001,0.0016,0.0012,0.0011,0.0013,3e-04,0.0917
