"Gender","Age","NumEnq","ExistCust","CCother","OutBal","Prov","AppMethod","Income","RecDef","PD_groups"
0,5e-04,0.7632,0.238,2e-04,Inf,2e-04,1e-04,4e-04,6e-04,0.0743
0,5e-04,0.8221,0.2663,4e-04,Inf,5e-04,3e-04,6e-04,4e-04,0.0975
0,0.001,0.8136,0.2869,4e-04,0.004,0.0017,3e-04,7e-04,8e-04,0.0986
5e-04,9e-04,0.7897,0.2541,4e-04,Inf,0.0017,7e-04,6e-04,9e-04,0.1002
1e-04,6e-04,0.8094,0.2671,4e-04,6e-04,5e-04,5e-04,0.0011,6e-04,0.0813
0,8e-04,0.7855,0.2571,0.001,Inf,0.0014,5e-04,6e-04,0.001,0.0914
1e-04,0.0016,0.8255,0.2532,0.0011,0.0018,0.0014,0.001,0.001,8e-04,0.098
2e-04,7e-04,0.798,0.2457,3e-04,4e-04,6e-04,2e-04,4e-04,6e-04,0.0873
1e-04,0.0018,0.7816,0.2472,4e-04,Inf,0.0011,6e-04,4e-04,2e-04,0.0885
0,6e-04,0.7969,0.2588,3e-04,9e-04,0.0012,3e-04,3e-04,6e-04,0.097
1e-04,0.0014,0.7933,0.2441,6e-04,6e-04,0.0016,9e-04,4e-04,1e-04,0.0921
3e-04,7e-04,0.798,0.2403,5e-04,0.0012,0.0012,5e-04,0.0015,2e-04,0.0808
0,8e-04,0.8158,0.2443,0.001,Inf,0.0015,0.0011,0.0013,3e-04,0.0874
0,5e-04,0.8063,0.26,3e-04,0.0014,0.0011,4e-04,3e-04,8e-04,0.0991
0,4e-04,0.8269,0.2667,4e-04,6e-04,0.0011,2e-04,0.0011,8e-04,0.0985
1e-04,6e-04,0.7752,0.247,0.001,0.0016,7e-04,5e-04,5e-04,6e-04,0.092
1e-04,6e-04,0.7864,0.2584,4e-04,9e-04,9e-04,5e-04,6e-04,6e-04,0.0888
0,0.0016,0.8038,0.2575,3e-04,0.0013,9e-04,4e-04,0.001,4e-04,0.0946
0,0.0014,0.7986,0.2506,4e-04,Inf,0.0011,7e-04,6e-04,3e-04,0.0897
0,5e-04,0.8198,0.2545,2e-04,4e-04,0.0015,3e-04,4e-04,3e-04,0.104
1e-04,4e-04,0.7869,0.2537,2e-04,Inf,0.0022,2e-04,1e-04,8e-04,0.0878
0,9e-04,0.8082,0.2604,0.001,Inf,0.0022,6e-04,5e-04,3e-04,0.0996
1e-04,6e-04,0.8152,0.2592,0.0014,Inf,0.0017,3e-04,0.0012,0.0015,0.0845
1e-04,0.0018,0.8004,0.2537,8e-04,4e-04,0.0023,0.001,0.0012,0.0015,0.1001
1e-04,0.0014,0.8,0.2623,2e-04,Inf,0.0014,0.001,5e-04,1e-04,0.1036
1e-04,6e-04,0.7798,0.2445,9e-04,0.0014,0.0016,1e-04,4e-04,2e-04,0.0917
3e-04,0.0011,0.8016,0.2654,3e-04,0.0016,0.0014,3e-04,0.0011,4e-04,0.097
0,2e-04,0.7816,0.2451,2e-04,Inf,9e-04,4e-04,5e-04,5e-04,0.0882
0,7e-04,0.7806,0.2555,7e-04,0.001,0.0012,5e-04,8e-04,6e-04,0.0932
0,8e-04,0.787,0.2561,7e-04,8e-04,9e-04,5e-04,9e-04,4e-04,0.0898
1e-04,5e-04,0.7883,0.2549,7e-04,0.0016,7e-04,2e-04,0.001,2e-04,0.1015
0,7e-04,0.7981,0.2627,7e-04,Inf,9e-04,6e-04,0.0011,3e-04,0.0898
0,0.0011,0.7996,0.2557,2e-04,0.0014,8e-04,4e-04,0.0011,3e-04,0.0922
1e-04,4e-04,0.8131,0.2619,4e-04,Inf,0.001,8e-04,0.0018,4e-04,0.0989
0,3e-04,0.7805,0.2504,2e-04,4e-04,8e-04,3e-04,6e-04,2e-04,0.0957
8e-04,0.0011,0.7895,0.2631,5e-04,6e-04,0.0015,9e-04,6e-04,2e-04,0.088
2e-04,4e-04,0.7937,0.2606,0,Inf,2e-04,0,3e-04,6e-04,0.0882
0,0.0013,0.8199,0.247,8e-04,Inf,0.0013,8e-04,4e-04,3e-04,0.0989
0,3e-04,0.8205,0.2776,2e-04,0.0011,8e-04,7e-04,0.0013,0,0.0945
2e-04,0.0011,0.784,0.2549,4e-04,8e-04,9e-04,5e-04,7e-04,1e-04,0.0852
1e-04,2e-04,0.7878,0.2504,1e-04,0.001,0.0018,2e-04,8e-04,1e-04,0.0825
1e-04,9e-04,0.822,0.2606,6e-04,0.002,0.0018,6e-04,8e-04,8e-04,0.0866
2e-04,5e-04,0.8178,0.2791,7e-04,8e-04,9e-04,5e-04,6e-04,1e-04,0.091
2e-04,5e-04,0.7909,0.2476,0.0013,4e-04,0.002,1e-04,0.0012,1e-04,0.093
0,5e-04,0.765,0.2532,5e-04,0.0014,0.0019,7e-04,5e-04,1e-04,0.0908
1e-04,0.0013,0.8218,0.2592,4e-04,0.0026,0.0015,3e-04,5e-04,5e-04,0.0972
1e-04,9e-04,0.7897,0.2405,2e-04,Inf,0.0013,6e-04,4e-04,3e-04,0.0915
8e-04,7e-04,0.8159,0.2652,2e-04,3e-04,4e-04,3e-04,0.001,2e-04,0.0903
0,7e-04,0.7966,0.2669,4e-04,0.0023,0.0011,5e-04,3e-04,5e-04,0.1056
0,2e-04,0.7957,0.2504,0,Inf,0.0012,0,4e-04,1e-04,0.0938
