"Gender","Age","NumEnq","ExistCust","CCother","OutBal","Prov","AppMethod","Income","RecDef","PD_groups"
0,0.0012,0.8045,0.2551,0.0014,0.0014,0.0028,0.0011,0.001,3e-04,0.0975
1e-04,3e-04,0.8281,0.2514,1e-04,0.0018,0.0012,1e-04,0.0012,5e-04,0.094
5e-04,0.0016,0.799,0.2441,5e-04,7e-04,8e-04,5e-04,5e-04,2e-04,0.085
2e-04,0.0011,0.8258,0.2681,4e-04,4e-04,0.0021,0.0012,0.0011,7e-04,0.0939
1e-04,0.0015,0.8249,0.2694,4e-04,7e-04,0.0015,5e-04,3e-04,5e-04,0.0906
0,0.0014,0.799,0.2642,1e-04,Inf,0.001,4e-04,3e-04,7e-04,0.104
1e-04,6e-04,0.771,0.2504,3e-04,Inf,0.0013,4e-04,3e-04,4e-04,0.0865
1e-04,4e-04,0.7842,0.2551,2e-04,0.0012,6e-04,3e-04,6e-04,7e-04,0.0859
0,0.0011,0.7889,0.2604,3e-04,Inf,7e-04,0,2e-04,7e-04,0.0908
1e-04,9e-04,0.8238,0.2516,3e-04,0.0015,8e-04,1e-04,8e-04,5e-04,0.098
1e-04,5e-04,0.7948,0.2547,1e-04,2e-04,3e-04,1e-04,3e-04,2e-04,0.0891
1e-04,0.001,0.7849,0.2582,0.001,Inf,0.0016,9e-04,0.0013,4e-04,0.0922
3e-04,0.001,0.8074,0.2642,7e-04,5e-04,8e-04,4e-04,9e-04,5e-04,0.0891
1e-04,4e-04,0.7793,0.249,2e-04,0.001,4e-04,2e-04,5e-04,8e-04,0.0854
0,9e-04,0.8085,0.2539,3e-04,6e-04,9e-04,3e-04,4e-04,1e-04,0.0925
0,5e-04,0.815,0.2535,7e-04,0.0011,8e-04,5e-04,7e-04,4e-04,0.0961
0,6e-04,0.8077,0.2592,4e-04,Inf,0.0012,2e-04,1e-04,5e-04,0.0942
0,0.0019,0.8043,0.2627,2e-04,Inf,0.0013,8e-04,6e-04,2e-04,0.1001
1e-04,0.001,0.7807,0.2462,5e-04,Inf,9e-04,6e-04,5e-04,6e-04,0.0951
1e-04,0.0013,0.7873,0.2575,3e-04,6e-04,0.001,8e-04,2e-04,4e-04,0.0944
0,8e-04,0.7996,0.2625,2e-04,0.001,9e-04,5e-04,6e-04,1e-04,0.1023
3e-04,4e-04,0.7993,0.265,4e-04,8e-04,6e-04,1e-04,3e-04,8e-04,0.102
3e-04,4e-04,0.7991,0.2401,5e-04,0.0012,0.0013,3e-04,9e-04,2e-04,0.0819
0,4e-04,0.787,0.2543,5e-04,4e-04,7e-04,3e-04,7e-04,4e-04,0.1058
0,5e-04,0.7855,0.252,2e-04,Inf,0.0013,1e-04,4e-04,5e-04,0.084
7e-04,7e-04,0.7817,0.25,2e-04,Inf,0.001,2e-04,3e-04,1e-04,0.0988
0,0.0013,0.8162,0.2811,0.001,Inf,0.0022,6e-04,3e-04,1e-04,0.1017
0,0.0023,0.7971,0.2555,6e-04,6e-04,0.0015,8e-04,0.0013,7e-04,0.0941
3e-04,5e-04,0.8236,0.2781,1e-04,0.0017,9e-04,5e-04,1e-04,5e-04,0.0923
0,3e-04,0.8003,0.2571,1e-04,0.0014,2e-04,0,3e-04,5e-04,0.0941
0,7e-04,0.7782,0.2524,7e-04,5e-04,0.0011,4e-04,4e-04,2e-04,0.0907
0,0.0011,0.779,0.2185,4e-04,Inf,8e-04,6e-04,6e-04,2e-04,0.0857
0,9e-04,0.8019,0.252,5e-04,7e-04,7e-04,3e-04,6e-04,4e-04,0.0836
3e-04,4e-04,0.8001,0.264,4e-04,Inf,0.0012,2e-04,5e-04,6e-04,0.1017
2e-04,5e-04,0.7785,0.2362,2e-04,Inf,8e-04,6e-04,9e-04,6e-04,0.0885
2e-04,5e-04,0.7973,0.2717,2e-04,0.0016,0.0013,1e-04,5e-04,5e-04,0.0892
4e-04,0.0011,0.8043,0.2604,5e-04,Inf,9e-04,2e-04,0.001,4e-04,0.0976
4e-04,8e-04,0.7925,0.2638,3e-04,Inf,0.0011,3e-04,5e-04,6e-04,0.0903
1e-04,0.0012,0.8068,0.2638,5e-04,5e-04,0.0014,6e-04,7e-04,3e-04,0.0998
3e-04,7e-04,0.8144,0.2779,4e-04,Inf,0.0011,1e-04,5e-04,5e-04,0.0939
3e-04,7e-04,0.7898,0.2547,8e-04,Inf,0.001,3e-04,0.0012,5e-04,0.0932
3e-04,0.0013,0.8055,0.273,4e-04,0.0019,7e-04,8e-04,7e-04,0,0.0935
2e-04,0.001,0.8125,0.2613,3e-04,Inf,3e-04,3e-04,0.0012,2e-04,0.0865
1e-04,3e-04,0.8129,0.25,1e-04,0.0013,4e-04,3e-04,2e-04,2e-04,0.0941
2e-04,8e-04,0.7878,0.2506,5e-04,7e-04,0.0013,9e-04,0.0013,3e-04,0.0916
0,6e-04,0.8171,0.2638,1e-04,Inf,6e-04,4e-04,8e-04,3e-04,0.0986
1e-04,3e-04,0.7878,0.2366,2e-04,8e-04,0.001,2e-04,7e-04,1e-04,0.0878
0,4e-04,0.8071,0.2586,1e-04,Inf,5e-04,2e-04,3e-04,1e-04,0.0979
2e-04,0.0014,0.8277,0.2575,5e-04,0.0016,0.0016,0.0011,5e-04,6e-04,0.0976
3e-04,9e-04,0.7877,0.239,9e-04,0.0012,0.0013,8e-04,4e-04,0.0014,0.0869
1e-04,0.0013,0.79,0.2504,0.0017,Inf,0.0024,0.001,0.001,0.001,0.0982
2e-04,0.0016,0.7935,0.2539,2e-04,0.001,2e-04,1e-04,0.001,6e-04,0.0871
0,5e-04,0.7842,0.2472,3e-04,0.001,0.0013,4e-04,6e-04,4e-04,0.0923
0,4e-04,0.7784,0.2492,7e-04,0.0011,0.002,8e-04,0.0012,2e-04,0.0863
4e-04,6e-04,0.8467,0.2923,9e-04,0.0013,0.0013,9e-04,7e-04,3e-04,0.1022
1e-04,2e-04,0.7987,0.253,1e-04,9e-04,9e-04,2e-04,7e-04,3e-04,0.0876
0,1e-04,0.8225,0.2604,6e-04,9e-04,0.0024,3e-04,3e-04,4e-04,0.0959
4e-04,0.0011,0.8553,0.264,0.001,0.0038,0.0011,9e-04,6e-04,0.001,0.0974
5e-04,8e-04,0.8218,0.2565,1e-04,Inf,6e-04,1e-04,5e-04,2e-04,0.0929
0,9e-04,0.805,0.2407,6e-04,7e-04,0.0017,1e-04,4e-04,2e-04,0.0817
0,0.001,0.7813,0.251,4e-04,Inf,0.001,7e-04,9e-04,6e-04,0.0895
0,0.0021,0.8007,0.2633,0.0013,Inf,0.0032,0.0026,0.0015,7e-04,0.0904
0,3e-04,0.8075,0.2631,7e-04,0.001,0.0018,4e-04,5e-04,1e-04,0.0866
0,0.001,0.8206,0.2604,2e-04,0.0011,9e-04,7e-04,0.0016,6e-04,0.091
0,5e-04,0.7914,0.2559,5e-04,4e-04,0.0013,6e-04,8e-04,2e-04,0.0872
1e-04,9e-04,0.7971,0.2496,6e-04,0.0026,0.0014,8e-04,0.0018,4e-04,0.0919
1e-04,0.0021,0.8005,0.2441,0.0014,0.0012,0.0024,0.0016,0.0015,0.0014,0.0944
1e-04,7e-04,0.8096,0.2646,1e-04,0.0018,0.0011,2e-04,9e-04,5e-04,0.0922
1e-04,0.0011,0.8195,0.2631,4e-04,0.001,0.0012,5e-04,3e-04,8e-04,0.0965
0,9e-04,0.828,0.2633,9e-04,0.0018,0.0013,6e-04,0.0015,6e-04,0.0877
0,5e-04,0.7926,0.2411,4e-04,0.0018,8e-04,2e-04,6e-04,1e-04,0.0841
0,8e-04,0.8041,0.2692,6e-04,0.0011,0.0016,6e-04,7e-04,3e-04,0.1041
1e-04,2e-04,0.77,0.2376,3e-04,7e-04,0.0014,0,9e-04,5e-04,0.0837
0,8e-04,0.8104,0.2709,3e-04,0.0026,0.001,2e-04,0.0011,2e-04,0.0905
1e-04,0.0012,0.8021,0.2669,2e-04,0.0011,0.0016,0.0011,9e-04,2e-04,0.1015
0,6e-04,0.7865,0.2656,7e-04,Inf,0.0011,0.0011,8e-04,3e-04,0.0881
0,7e-04,0.787,0.251,6e-04,Inf,0.0011,2e-04,3e-04,2e-04,0.0947
0,2e-04,0.8085,0.2494,4e-04,Inf,0.0012,1e-04,6e-04,7e-04,0.094
1e-04,9e-04,0.788,0.2429,4e-04,5e-04,0.001,6e-04,0.0018,5e-04,0.0842
0,6e-04,0.809,0.2613,1e-04,Inf,7e-04,4e-04,4e-04,8e-04,0.0919
0,0.0012,0.7949,0.2667,0.001,0.0011,0.0021,7e-04,7e-04,0.001,0.097
2e-04,0.0011,0.8107,0.2549,8e-04,0.001,0.002,0.0016,0.0017,4e-04,0.1034
2e-04,7e-04,0.8134,0.2611,3e-04,0.0017,8e-04,6e-04,9e-04,8e-04,0.0934
2e-04,3e-04,0.8315,0.27,4e-04,9e-04,8e-04,1e-04,5e-04,5e-04,0.0984
2e-04,3e-04,0.7734,0.2443,2e-04,Inf,5e-04,4e-04,7e-04,2e-04,0.081
4e-04,0.0011,0.7876,0.2549,2e-04,4e-04,8e-04,1e-04,8e-04,3e-04,0.0793
0,9e-04,0.8102,0.2524,7e-04,0.0013,0.0015,1e-04,1e-04,2e-04,0.0948
1e-04,4e-04,0.7802,0.2256,3e-04,0.001,5e-04,2e-04,8e-04,2e-04,0.085
2e-04,0.0011,0.7636,0.2453,9e-04,9e-04,0.0014,0.0014,0.0015,3e-04,0.0932
1e-04,0.0011,0.8026,0.2629,1e-04,Inf,7e-04,4e-04,5e-04,6e-04,0.0924
1e-04,0.0012,0.81,0.2629,0.001,8e-04,0.001,7e-04,0.001,7e-04,0.0985
0,7e-04,0.7777,0.2484,3e-04,0.0022,8e-04,3e-04,7e-04,6e-04,0.0786
0,0.0018,0.8233,0.2673,0.0014,Inf,0.0021,7e-04,0.0018,5e-04,0.1025
0,5e-04,0.7815,0.2272,3e-04,5e-04,8e-04,5e-04,0.001,4e-04,0.085
1e-04,8e-04,0.8184,0.2877,0.0013,5e-04,0.0016,5e-04,6e-04,6e-04,0.0998
3e-04,3e-04,0.7833,0.235,1e-04,0.0017,8e-04,4e-04,0.002,6e-04,0.0922
