"Gender","Age","NumEnq","ExistCust","CCother","OutBal","Prov","AppMethod","Income","RecDef","PD_groups"
1e-04,4e-04,0.8132,0.2656,3e-04,Inf,0.0019,2e-04,8e-04,3e-04,0.0994
0,2e-04,0.8124,0.2738,3e-04,Inf,0.001,4e-04,0.0018,4e-04,0.0961
0,9e-04,0.8017,0.2482,0.001,0.0015,0.0014,5e-04,0.0012,2e-04,0.0952
0,5e-04,0.8123,0.2567,4e-04,3e-04,4e-04,3e-04,4e-04,2e-04,0.0917
0,0.0022,0.8307,0.27,0.0017,Inf,0.0032,0.0017,0.0016,6e-04,0.0966
2e-04,2e-04,0.7781,0.246,1e-04,Inf,5e-04,2e-04,3e-04,5e-04,0.0926
0,5e-04,0.7868,0.265,9e-04,Inf,0.001,5e-04,7e-04,5e-04,0.0984
0,9e-04,0.7886,0.2642,0.0011,0.0012,0.0018,0.0013,0.0013,2e-04,0.0958
0,6e-04,0.791,0.2677,2e-04,0.0022,0.0012,3e-04,2e-04,4e-04,0.0979
3e-04,7e-04,0.8296,0.2692,6e-04,Inf,9e-04,4e-04,7e-04,0.001,0.0977
1e-04,6e-04,0.8088,0.249,0.0011,7e-04,0.0015,0.001,9e-04,7e-04,0.1026
1e-04,5e-04,0.7925,0.2569,2e-04,5e-04,8e-04,1e-04,2e-04,3e-04,0.0861
1e-04,9e-04,0.7647,0.253,5e-04,Inf,0.001,3e-04,4e-04,4e-04,0.0851
1e-04,0.0016,0.7923,0.252,8e-04,2e-04,0.0017,4e-04,0.0011,2e-04,0.0976
0,2e-04,0.8059,0.265,0,0.0011,4e-04,2e-04,2e-04,4e-04,0.0987
0,6e-04,0.7922,0.2557,4e-04,Inf,7e-04,3e-04,3e-04,0,0.0913
1e-04,7e-04,0.8004,0.2512,1e-04,Inf,4e-04,1e-04,2e-04,1e-04,0.0949
1e-04,0.0012,0.7947,0.2698,7e-04,3e-04,0.0013,0.0011,9e-04,4e-04,0.1018
0,0.001,0.7935,0.2453,3e-04,Inf,0.0015,0.0011,7e-04,5e-04,0.0921
1e-04,0.0011,0.7801,0.2431,4e-04,8e-04,7e-04,2e-04,0.0011,7e-04,0.0938
0,3e-04,0.7712,0.2372,5e-04,9e-04,0.0018,7e-04,7e-04,2e-04,0.0898
1e-04,0.001,0.7938,0.2553,7e-04,0.001,9e-04,4e-04,8e-04,8e-04,0.0903
0,0.0011,0.7728,0.2429,7e-04,3e-04,8e-04,4e-04,3e-04,4e-04,0.1025
