"Gender","Age","NumEnq","ExistCust","CCother","OutBal","Prov","AppMethod","Income","RecDef","PD_groups"
0,0.001,0.7959,0.2635,9e-04,Inf,0.0015,0.001,6e-04,4e-04,0.0909
1e-04,5e-04,0.8025,0.2652,0,0.0015,0.001,3e-04,5e-04,5e-04,0.0899
1e-04,5e-04,0.8048,0.2654,0.0013,Inf,0.0015,3e-04,7e-04,6e-04,0.0959
0,0.0014,0.7752,0.2476,0.0015,7e-04,0.0026,0.0019,0.0015,0.001,0.0969
4e-04,8e-04,0.8057,0.2594,1e-04,7e-04,4e-04,1e-04,7e-04,4e-04,0.0875
0,4e-04,0.7707,0.2313,0,Inf,9e-04,0,2e-04,3e-04,0.0911
2e-04,5e-04,0.7761,0.2443,1e-04,4e-04,4e-04,2e-04,0,8e-04,0.0901
5e-04,2e-04,0.7863,0.2598,4e-04,0.0012,4e-04,0,1e-04,2e-04,0.098
0,0.001,0.8024,0.259,7e-04,0.0021,0.0011,8e-04,0.0011,8e-04,0.0914
0,0.001,0.7986,0.253,7e-04,8e-04,0.0014,8e-04,0.0012,4e-04,0.0902
0,3e-04,0.75,0.2311,6e-04,6e-04,7e-04,3e-04,6e-04,3e-04,0.0861
1e-04,5e-04,0.7878,0.2413,0,8e-04,7e-04,4e-04,7e-04,4e-04,0.0878
0,0.0014,0.7538,0.2582,0.0011,Inf,0.0022,7e-04,9e-04,2e-04,0.0938
1e-04,9e-04,0.7822,0.2573,4e-04,4e-04,8e-04,3e-04,1e-04,4e-04,0.0889
2e-04,0.001,0.83,0.269,2e-04,4e-04,0.0012,6e-04,3e-04,1e-04,0.0979
0,8e-04,0.8131,0.2679,4e-04,Inf,7e-04,1e-04,0.001,4e-04,0.0952
6e-04,0.0016,0.8255,0.25,7e-04,Inf,0.0038,7e-04,4e-04,6e-04,0.0932
0,6e-04,0.7798,0.2397,9e-04,0.0016,0.0021,2e-04,7e-04,3e-04,0.0925
3e-04,3e-04,0.8049,0.2613,3e-04,0.001,0.0013,2e-04,7e-04,5e-04,0.1005
1e-04,7e-04,0.7949,0.2604,2e-04,0.0022,0.0019,3e-04,5e-04,2e-04,0.0886
4e-04,0.0011,0.7861,0.2492,3e-04,Inf,3e-04,2e-04,6e-04,2e-04,0.0924
2e-04,0.0011,0.8093,0.2332,2e-04,Inf,5e-04,4e-04,0.0013,3e-04,0.0874
0,4e-04,0.8153,0.2526,1e-04,Inf,0.001,5e-04,9e-04,2e-04,0.0921
4e-04,4e-04,0.7803,0.2453,5e-04,0.0013,0.0018,6e-04,2e-04,2e-04,0.0948
0,0.0013,0.7949,0.2516,0.0013,Inf,0.0013,0.001,0.001,6e-04,0.0961
1e-04,0.0013,0.8165,0.2768,0.0013,Inf,0.0017,0.001,0.0017,8e-04,0.0957
0,6e-04,0.7718,0.2549,0.001,6e-04,0.0014,6e-04,3e-04,7e-04,0.0887
1e-04,2e-04,0.8032,0.2617,1e-04,7e-04,0.0017,2e-04,3e-04,2e-04,0.0947
1e-04,6e-04,0.7737,0.2547,4e-04,0.001,0.0011,2e-04,2e-04,1e-04,0.0894
0,0.0014,0.8416,0.2535,4e-04,0.0012,0.0017,9e-04,0.0012,5e-04,0.0919
0,3e-04,0.7801,0.2482,5e-04,3e-04,8e-04,6e-04,8e-04,2e-04,0.0892
0,4e-04,0.8009,0.2588,4e-04,0.0021,0.0017,5e-04,0.001,6e-04,0.0935
0.001,0.0012,0.8114,0.2619,8e-04,6e-04,0.0011,3e-04,2e-04,2e-04,0.0957
1e-04,8e-04,0.8098,0.2658,2e-04,8e-04,6e-04,3e-04,0.0019,0.0011,0.0876
0,6e-04,0.8116,0.2494,9e-04,4e-04,0.0025,8e-04,0.0018,7e-04,0.0865
0,8e-04,0.82,0.259,4e-04,0.0012,8e-04,2e-04,1e-04,1e-04,0.0993
0,5e-04,0.8117,0.2573,1e-04,0.0011,4e-04,0,3e-04,4e-04,0.0967
0,7e-04,0.7869,0.2437,2e-04,0.0016,0.0012,3e-04,0.0017,3e-04,0.094
4e-04,6e-04,0.7912,0.2362,2e-04,0,0.0013,6e-04,7e-04,2e-04,0.0851
3e-04,3e-04,0.7893,0.2447,1e-04,0.0011,7e-04,2e-04,8e-04,2e-04,0.0841
1e-04,0.0013,0.7739,0.2453,2e-04,Inf,0.0021,8e-04,0.0014,1e-04,0.0866
0,0.001,0.7667,0.2405,1e-04,Inf,9e-04,4e-04,0.001,3e-04,0.0878
0,0.0019,0.7914,0.253,0.0012,Inf,0.0014,0.0012,0.0013,4e-04,0.0812
0,6e-04,0.7945,0.2675,3e-04,0.0018,0.001,4e-04,4e-04,1e-04,0.093
0,3e-04,0.79,0.2508,1e-04,9e-04,8e-04,1e-04,4e-04,7e-04,0.0921
2e-04,1e-04,0.816,0.2671,6e-04,Inf,0.0012,8e-04,0.0014,2e-04,0.0832
4e-04,7e-04,0.8101,0.2642,6e-04,7e-04,0.0023,9e-04,7e-04,2e-04,0.0905
0,5e-04,0.7597,0.2528,2e-04,Inf,4e-04,1e-04,8e-04,4e-04,0.0854
0,0.0011,0.7849,0.2598,3e-04,Inf,0.0012,7e-04,0.001,7e-04,0.0939
0,0.0011,0.8102,0.2824,0,6e-04,9e-04,4e-04,5e-04,2e-04,0.099
7e-04,9e-04,0.8402,0.2604,7e-04,0.0014,0.0012,8e-04,0.0015,7e-04,0.0917
1e-04,8e-04,0.8219,0.2606,9e-04,Inf,0.0015,9e-04,0.0011,0.0012,0.1019
1e-04,0.0014,0.8061,0.2537,2e-04,Inf,0.0013,4e-04,0.0013,6e-04,0.0901
1e-04,5e-04,0.7818,0.2557,1e-04,0.0013,6e-04,1e-04,4e-04,0.001,0.0899
2e-04,8e-04,0.8024,0.2559,0.0017,3e-04,0.0018,8e-04,0.0021,0.0012,0.0962
1e-04,6e-04,0.7811,0.2623,2e-04,Inf,0.0012,1e-04,2e-04,2e-04,0.0854
0,7e-04,0.816,0.2623,3e-04,0.0012,9e-04,6e-04,0.0019,1e-04,0.0901
1e-04,9e-04,0.774,0.2524,6e-04,Inf,0.0011,7e-04,0.0016,8e-04,0.1052
3e-04,7e-04,0.8074,0.2652,8e-04,0.0014,0.0016,7e-04,6e-04,5e-04,0.0989
9e-04,5e-04,0.8213,0.2514,5e-04,0.0017,0.0015,2e-04,3e-04,3e-04,0.0911
0,8e-04,0.8032,0.2588,4e-04,0.0012,0.0017,6e-04,5e-04,0.0011,0.0905
5e-04,0.001,0.8004,0.2673,4e-04,9e-04,7e-04,5e-04,4e-04,1e-04,0.0896
0,4e-04,0.78,0.26,4e-04,9e-04,0.0022,7e-04,3e-04,6e-04,0.0867
1e-04,0.0011,0.7979,0.2478,0.0014,0.001,0.0016,5e-04,5e-04,0.001,0.1048
6e-04,6e-04,0.7738,0.2571,4e-04,0.0012,0.0014,2e-04,0.0011,4e-04,0.0896
0,4e-04,0.7854,0.2625,1e-04,Inf,7e-04,0,2e-04,6e-04,0.0962
4e-04,2e-04,0.7791,0.2486,4e-04,4e-04,0.0014,0,4e-04,7e-04,0.0898
2e-04,7e-04,0.8143,0.2421,5e-04,0.0016,0.0011,4e-04,6e-04,2e-04,0.083
3e-04,9e-04,0.7982,0.2557,1e-04,7e-04,0.0012,1e-04,2e-04,4e-04,0.0815
0,7e-04,0.7876,0.2482,8e-04,0.0014,0.0017,4e-04,0.0015,1e-04,0.0873
9e-04,0.001,0.7887,0.2539,7e-04,Inf,0.0021,8e-04,0.0011,1e-04,0.0805
0,0.0021,0.7683,0.2423,0.0011,5e-04,0.0021,0.0019,0.0012,2e-04,0.0884
1e-04,9e-04,0.7974,0.2627,8e-04,Inf,0.0014,4e-04,6e-04,4e-04,0.0995
