"Gender","Age","NumEnq","ExistCust","CCother","OutBal","Prov","AppMethod","Income","RecDef","PD_groups"
0,9e-04,0.8202,0.266,0.0011,Inf,0.0019,3e-04,7e-04,9e-04,0.0969
5e-04,6e-04,0.793,0.2449,9e-04,4e-04,0.0012,0.0011,0.002,5e-04,0.0813
1e-04,4e-04,0.8034,0.2702,8e-04,0.002,0.0012,2e-04,0.0015,6e-04,0.1007
1e-04,7e-04,0.7954,0.2462,7e-04,4e-04,0.0014,5e-04,9e-04,2e-04,0.0881
0,4e-04,0.8051,0.2476,1e-04,6e-04,5e-04,4e-04,7e-04,2e-04,0.0942
0,5e-04,0.8054,0.2555,3e-04,Inf,7e-04,2e-04,0.001,5e-04,0.0874
0,9e-04,0.8185,0.2582,5e-04,Inf,0.0012,3e-04,8e-04,6e-04,0.0945
0,4e-04,0.8132,0.2549,7e-04,9e-04,0.0017,1e-04,6e-04,3e-04,0.0835
0.0012,4e-04,0.8438,0.2696,0.0011,0.0014,8e-04,4e-04,6e-04,9e-04,0.1051
1e-04,0.0019,0.8315,0.2588,9e-04,Inf,0.0019,0.0011,4e-04,8e-04,0.098
2e-04,0.001,0.8198,0.252,0.0012,0.002,0.0016,4e-04,2e-04,3e-04,0.0997
0,5e-04,0.8105,0.2791,4e-04,0.0016,8e-04,3e-04,0.0012,0.001,0.0935
1e-04,0.0011,0.8011,0.2541,4e-04,0.0015,0.0021,0.0016,0.0018,3e-04,0.0929
0,3e-04,0.7781,0.2535,7e-04,5e-04,0.001,2e-04,6e-04,1e-04,0.085
0,0.0013,0.8187,0.2694,0.0011,0.0022,0.0022,0.0011,8e-04,0.0011,0.1062
5e-04,6e-04,0.7855,0.2449,5e-04,Inf,0.0012,1e-04,0.0011,2e-04,0.0885
0,7e-04,0.769,0.2415,4e-04,5e-04,3e-04,2e-04,5e-04,6e-04,0.0847
2e-04,5e-04,0.7853,0.2611,1e-04,Inf,9e-04,1e-04,2e-04,5e-04,0.0936
0,4e-04,0.7837,0.2619,3e-04,Inf,9e-04,3e-04,5e-04,2e-04,0.0942
1e-04,4e-04,0.7765,0.2613,4e-04,0.0016,5e-04,3e-04,8e-04,8e-04,0.0872
3e-04,9e-04,0.813,0.2625,6e-04,0.0021,0.0012,6e-04,0.0012,2e-04,0.0937
0,4e-04,0.7914,0.2455,3e-04,5e-04,5e-04,3e-04,8e-04,2e-04,0.0963
4e-04,4e-04,0.812,0.2704,3e-04,Inf,0.0011,3e-04,1e-04,9e-04,0.0997
5e-04,3e-04,0.7974,0.2654,2e-04,Inf,5e-04,3e-04,9e-04,2e-04,0.0879
0,3e-04,0.8141,0.2588,3e-04,0.0011,9e-04,1e-04,4e-04,1e-04,0.0935
4e-04,7e-04,0.7822,0.2441,3e-04,2e-04,8e-04,4e-04,0.0013,3e-04,0.0871
1e-04,8e-04,0.8048,0.2717,0.0015,0.001,0.0022,8e-04,0.0011,4e-04,0.1011
1e-04,9e-04,0.8096,0.2502,5e-04,0.0014,4e-04,2e-04,0.001,2e-04,0.0863
5e-04,6e-04,0.7834,0.2584,0,Inf,9e-04,1e-04,5e-04,7e-04,0.0829
1e-04,4e-04,0.7986,0.2656,2e-04,0.0015,6e-04,6e-04,4e-04,3e-04,0.0914
0,4e-04,0.7617,0.2366,3e-04,Inf,9e-04,3e-04,8e-04,4e-04,0.0842
2e-04,9e-04,0.7995,0.2667,7e-04,Inf,0.0019,4e-04,8e-04,3e-04,0.0991
1e-04,0.0013,0.7939,0.2399,4e-04,Inf,0.0016,2e-04,6e-04,1e-04,0.0889
0,0.0011,0.8185,0.266,6e-04,7e-04,0.0012,6e-04,5e-04,3e-04,0.0915
1e-04,6e-04,0.8092,0.2526,2e-04,0.0011,9e-04,3e-04,9e-04,2e-04,0.0954
0,0.0016,0.7928,0.251,2e-04,7e-04,0.002,7e-04,2e-04,1e-04,0.0953
1e-04,8e-04,0.8148,0.2563,5e-04,Inf,0.0015,5e-04,0.0011,5e-04,0.0879
2e-04,5e-04,0.7859,0.2419,0.0012,Inf,0.0021,9e-04,5e-04,4e-04,0.0799
1e-04,3e-04,0.7754,0.2423,3e-04,0.001,0.0015,6e-04,3e-04,3e-04,0.0869
1e-04,8e-04,0.8031,0.264,1e-04,0.0014,9e-04,5e-04,3e-04,9e-04,0.0967
1e-04,8e-04,0.7962,0.2453,2e-04,Inf,7e-04,3e-04,0.0013,5e-04,0.0959
0,7e-04,0.7913,0.2602,9e-04,3e-04,0.0011,6e-04,8e-04,2e-04,0.0929
0,6e-04,0.7738,0.2563,7e-04,0.0014,0.0011,5e-04,8e-04,2e-04,0.0837
0,0.001,0.8021,0.2602,2e-04,0.0011,3e-04,2e-04,9e-04,0,0.0939
0,0.0012,0.7933,0.2584,9e-04,Inf,0.0011,7e-04,0.0015,5e-04,0.0896
0,0.001,0.8176,0.2719,7e-04,Inf,0.0021,7e-04,5e-04,5e-04,0.0993
4e-04,8e-04,0.8023,0.2439,6e-04,0.0021,0.0019,2e-04,0.0016,1e-04,0.0858
0,3e-04,0.7789,0.247,7e-04,0.0012,0.0021,7e-04,0.0016,2e-04,0.0849
1e-04,2e-04,0.766,0.2474,4e-04,0.0012,2e-04,1e-04,5e-04,3e-04,0.0927
2e-04,7e-04,0.8331,0.25,3e-04,Inf,5e-04,1e-04,0.0015,2e-04,0.094
2e-04,7e-04,0.8076,0.2455,6e-04,7e-04,0.001,6e-04,0.0012,1e-04,0.0925
5e-04,6e-04,0.7978,0.2571,3e-04,9e-04,0.0014,3e-04,2e-04,4e-04,0.0929
4e-04,5e-04,0.8395,0.2633,1e-04,0.0015,8e-04,1e-04,8e-04,4e-04,0.0952
0,5e-04,0.8024,0.2567,1e-04,Inf,5e-04,1e-04,3e-04,0.001,0.0919
2e-04,1e-04,0.8271,0.273,9e-04,6e-04,0.001,4e-04,0.0011,6e-04,0.0935
0,0.0015,0.8118,0.2594,0.0015,Inf,0.0014,7e-04,0.0023,5e-04,0.0965
0,3e-04,0.8093,0.2476,1e-04,3e-04,9e-04,2e-04,4e-04,4e-04,0.0957
1e-04,6e-04,0.7655,0.2433,5e-04,Inf,0.0013,3e-04,0.0011,0.0013,0.084
0,6e-04,0.8015,0.2512,1e-04,6e-04,0.0015,8e-04,5e-04,8e-04,0.0794
1e-04,3e-04,0.8012,0.2514,1e-04,Inf,0.001,1e-04,9e-04,2e-04,0.0906
0,0.0013,0.8065,0.2667,0.0013,7e-04,0.0018,0.0011,9e-04,3e-04,0.0887
2e-04,9e-04,0.7827,0.2484,2e-04,8e-04,0.0013,4e-04,0.0015,6e-04,0.0952
4e-04,6e-04,0.8212,0.2594,3e-04,0.001,7e-04,4e-04,0.0013,6e-04,0.0905
0,0.0015,0.8052,0.2555,4e-04,3e-04,0.0013,0.0012,7e-04,4e-04,0.095
2e-04,7e-04,0.7996,0.2557,2e-04,0.0015,2e-04,1e-04,4e-04,0.0021,0.0995
2e-04,4e-04,0.782,0.2671,6e-04,4e-04,0.0012,0,4e-04,6e-04,0.0894
0,6e-04,0.8199,0.2638,5e-04,0.0013,0.0012,2e-04,5e-04,4e-04,0.0911
1e-04,6e-04,0.7998,0.2423,6e-04,0.0024,0.0012,4e-04,4e-04,0.001,0.1008
1e-04,5e-04,0.7856,0.26,6e-04,0.001,9e-04,1e-04,0.001,5e-04,0.086
0,7e-04,0.8224,0.2526,8e-04,0.0018,0.0017,4e-04,5e-04,6e-04,0.0961
0,2e-04,0.7922,0.2397,2e-04,Inf,7e-04,2e-04,7e-04,1e-04,0.0932
1e-04,3e-04,0.7795,0.248,1e-04,3e-04,6e-04,1e-04,4e-04,6e-04,0.0939
0,6e-04,0.7853,0.259,2e-04,0.0021,0.001,2e-04,8e-04,4e-04,0.0793
3e-04,4e-04,0.8083,0.2717,2e-04,8e-04,4e-04,2e-04,0.001,3e-04,0.0987
1e-04,9e-04,0.7881,0.2492,0.0014,0.0017,0.0016,4e-04,2e-04,4e-04,0.0984
0,8e-04,0.7784,0.25,3e-04,6e-04,8e-04,3e-04,9e-04,1e-04,0.0941
0,0.0023,0.8007,0.2646,4e-04,0.0014,5e-04,2e-04,9e-04,1e-04,0.088
0,0.001,0.8081,0.2596,2e-04,Inf,5e-04,3e-04,6e-04,1e-04,0.087
0,7e-04,0.8012,0.2592,5e-04,Inf,0.0013,1e-04,3e-04,4e-04,0.0902
